,codigo_autor,codigo_coautor,num_publicaciones
39859,0000-0003-1221-915X,0000-0003-4364-6373,1
39860,0000-0002-1311-1338,0000-0003-1221-915X,1
39861,0000-0002-1311-1338,0000-0003-4364-6373,1
39862,0000-0003-4364-6373,0000-0003-1221-915X,1
39863,0000-0003-4364-6373,0000-0002-1311-1338,1
39864,0000-0003-0146-8193,0000-0001-8861-1305,1
39865,0000-0001-8861-1305,0000-0003-0146-8193,1
39866,0000-0001-5356-4350,0000-0002-1071-5355,2
39867,0000-0001-5356-4350,0000-0001-9228-6752,2
39868,0000-0002-1071-5355,0000-0001-5356-4350,2
39869,0000-0002-1071-5355,0000-0001-9228-6752,2
39870,0000-0001-9228-6752,0000-0001-5356-4350,2
39871,0000-0001-9228-6752,0000-0002-1071-5355,2
39872,0000-0002-1362-2410,0000-0002-1217-5858,1
39873,0000-0002-1217-5858,0000-0002-1362-2410,1
39874,0000-0002-0817-5425,0000-0002-3010-6637,1
39875,0000-0002-3010-6637,0000-0002-0817-5425,1
39876,0000-0001-6069-7960,0000-0002-2892-2643,1
39877,0000-0002-2892-2643,0000-0001-6069-7960,1
39878,0000-0002-1031-077X,0000-0002-8484-0618,1
39879,0000-0002-8484-0618,0000-0002-1031-077X,1
39880,0000-0002-8240-939X,0000-0002-5488-2999,1
39881,0000-0002-5488-2999,0000-0002-8240-939X,1
39882,0000-0001-9461-7981,0000-0002-4395-1397,1
39883,0000-0002-4395-1397,0000-0001-9461-7981,1
39884,0000-0001-6281-3419,0000-0002-4037-3501,1
39885,0000-0002-4037-3501,0000-0001-6281-3419,1
39886,0000-0002-7719-5585,0000-0002-7470-7311,1
39887,0000-0002-7470-7311,0000-0002-7719-5585,1
39888,0000-0003-0241-1121,0000-0002-4547-6876,1
39889,0000-0002-4547-6876,0000-0003-0241-1121,1
39890,0000-0001-7073-2379,0000-0003-2878-4671,1
39891,0000-0001-7073-2379,0000-0003-4566-0005,1
39892,0000-0001-7073-2379,0000-0002-6004-6196,1
39893,0000-0001-7073-2379,0000-0002-1127-7596,1
39894,0000-0001-7073-2379,0000-0002-1714-6749,1
39895,0000-0003-2878-4671,0000-0001-7073-2379,1
39896,0000-0003-2878-4671,0000-0003-2001-2474,1
39897,0000-0003-2878-4671,0000-0003-2053-1792,1
39898,0000-0003-2878-4671,0000-0003-4566-0005,1
39899,0000-0003-2878-4671,0000-0002-2143-8760,1
39900,0000-0003-2878-4671,0000-0002-6004-6196,1
39901,0000-0003-2878-4671,0000-0002-6980-4053,1
39902,0000-0003-2878-4671,0000-0002-1127-7596,1
39903,0000-0003-2878-4671,0000-0002-1714-6749,1
39904,0000-0003-2878-4671,0000-0002-0198-4588,1
39905,0000-0003-2001-2474,0000-0003-2878-4671,1
39906,0000-0003-2001-2474,0000-0003-4566-0005,1
39907,0000-0003-2001-2474,0000-0002-6004-6196,1
39908,0000-0003-2001-2474,0000-0002-3596-7874,1
39909,0000-0003-2001-2474,0000-0002-1127-7596,1
39910,0000-0003-2001-2474,0000-0002-1714-6749,1
39911,0000-0003-2053-1792,0000-0003-2878-4671,1
39912,0000-0003-2053-1792,0000-0003-4566-0005,1
39913,0000-0003-2053-1792,0000-0002-6004-6196,1
39914,0000-0003-2053-1792,0000-0002-6980-4053,1
39915,0000-0003-2053-1792,0000-0002-1127-7596,1
39916,0000-0003-2053-1792,0000-0002-1714-6749,1
39917,0000-0003-4566-0005,0000-0001-7073-2379,1
39918,0000-0003-4566-0005,0000-0003-2878-4671,1
39919,0000-0003-4566-0005,0000-0003-2001-2474,1
39920,0000-0003-4566-0005,0000-0003-2053-1792,1
39921,0000-0003-4566-0005,0000-0002-2143-8760,1
39922,0000-0003-4566-0005,0000-0002-6004-6196,1
39923,0000-0003-4566-0005,0000-0002-6980-4053,1
39924,0000-0003-4566-0005,0000-0002-1127-7596,1
39925,0000-0003-4566-0005,0000-0002-1714-6749,1
39926,0000-0003-4566-0005,0000-0002-0198-4588,1
39927,0000-0002-2143-8760,0000-0003-2878-4671,1
39928,0000-0002-2143-8760,0000-0003-4566-0005,1
39929,0000-0002-2143-8760,0000-0002-6004-6196,1
39930,0000-0002-2143-8760,0000-0002-3596-7874,1
39931,0000-0002-2143-8760,0000-0002-1127-7596,1
39932,0000-0002-2143-8760,0000-0002-1714-6749,1
39933,0000-0002-6004-6196,0000-0001-7073-2379,1
39934,0000-0002-6004-6196,0000-0003-2878-4671,1
39935,0000-0002-6004-6196,0000-0003-2001-2474,1
39936,0000-0002-6004-6196,0000-0003-2053-1792,1
39937,0000-0002-6004-6196,0000-0003-4566-0005,1
39938,0000-0002-6004-6196,0000-0002-2143-8760,1
39939,0000-0002-6004-6196,0000-0002-3596-7874,1
39940,0000-0002-6004-6196,0000-0002-6980-4053,1
39941,0000-0002-6004-6196,0000-0002-1127-7596,1
39942,0000-0002-6004-6196,0000-0002-1714-6749,1
39943,0000-0002-6004-6196,0000-0002-0198-4588,1
39944,0000-0002-3596-7874,0000-0003-2001-2474,1
39945,0000-0002-3596-7874,0000-0002-2143-8760,1
39946,0000-0002-3596-7874,0000-0002-6004-6196,1
39947,0000-0002-3596-7874,0000-0002-6980-4053,1
39948,0000-0002-3596-7874,0000-0002-1127-7596,1
39949,0000-0002-3596-7874,0000-0002-1714-6749,1
39950,0000-0002-3596-7874,0000-0002-0198-4588,1
39951,0000-0002-6980-4053,0000-0003-2878-4671,1
39952,0000-0002-6980-4053,0000-0003-2053-1792,1
39953,0000-0002-6980-4053,0000-0003-4566-0005,1
39954,0000-0002-6980-4053,0000-0002-6004-6196,1
39955,0000-0002-6980-4053,0000-0002-3596-7874,1
39956,0000-0002-6980-4053,0000-0002-1127-7596,1
39957,0000-0002-6980-4053,0000-0002-1714-6749,1
39958,0000-0002-6980-4053,0000-0002-1407-8314,1
39959,0000-0002-1127-7596,0000-0001-7073-2379,1
39960,0000-0002-1127-7596,0000-0003-2878-4671,1
39961,0000-0002-1127-7596,0000-0003-2001-2474,1
39962,0000-0002-1127-7596,0000-0003-2053-1792,1
39963,0000-0002-1127-7596,0000-0003-4566-0005,1
39964,0000-0002-1127-7596,0000-0002-2143-8760,1
39965,0000-0002-1127-7596,0000-0002-6004-6196,1
39966,0000-0002-1127-7596,0000-0002-3596-7874,1
39967,0000-0002-1127-7596,0000-0002-6980-4053,1
39968,0000-0002-1127-7596,0000-0002-1714-6749,1
39969,0000-0002-1127-7596,0000-0002-1407-8314,1
39970,0000-0002-1127-7596,0000-0002-0198-4588,1
39971,0000-0002-1714-6749,0000-0001-7073-2379,1
39972,0000-0002-1714-6749,0000-0003-2878-4671,1
39973,0000-0002-1714-6749,0000-0003-2001-2474,1
39974,0000-0002-1714-6749,0000-0003-2053-1792,1
39975,0000-0002-1714-6749,0000-0003-4566-0005,1
39976,0000-0002-1714-6749,0000-0002-2143-8760,1
39977,0000-0002-1714-6749,0000-0002-6004-6196,1
39978,0000-0002-1714-6749,0000-0002-3596-7874,1
39979,0000-0002-1714-6749,0000-0002-6980-4053,1
39980,0000-0002-1714-6749,0000-0002-1127-7596,1
39981,0000-0002-1714-6749,0000-0002-1407-8314,1
39982,0000-0002-1714-6749,0000-0002-0198-4588,1
39983,0000-0002-1407-8314,0000-0002-6980-4053,1
39984,0000-0002-1407-8314,0000-0002-1127-7596,1
39985,0000-0002-1407-8314,0000-0002-1714-6749,1
39986,0000-0002-0198-4588,0000-0003-2878-4671,1
39987,0000-0002-0198-4588,0000-0003-4566-0005,1
39988,0000-0002-0198-4588,0000-0002-6004-6196,1
39989,0000-0002-0198-4588,0000-0002-3596-7874,1
39990,0000-0002-0198-4588,0000-0002-1127-7596,1
39991,0000-0002-0198-4588,0000-0002-1714-6749,1
39992,0000-0001-5915-4598,0000-0002-7504-1822,1
39993,0000-0002-7504-1822,0000-0001-5915-4598,1
39994,0000-0002-0687-8565,0000-0002-1027-4684,1
39995,0000-0002-1027-4684,0000-0002-0687-8565,1
39996,0000-0002-0618-8185,0000-0002-9453-4091,1
39997,0000-0002-9453-4091,0000-0002-0618-8185,1
39998,0000-0002-6467-8289,0000-0002-4343-5210,1
39999,0000-0002-4343-5210,0000-0002-6467-8289,1
40000,0000-0002-0473-754X,0000-0002-7782-4169,1
40001,0000-0002-7782-4169,0000-0002-0473-754X,1
40002,0000-0001-5130-9284,0000-0002-7684-0079,1
40003,0000-0002-7684-0079,0000-0001-5130-9284,1
40004,0000-0001-5828-9992,0000-0002-8442-127X,1
40005,0000-0002-8442-127X,0000-0001-5828-9992,1
40006,0000-0002-8442-127X,0000-0003-3971-5380,1
40007,0000-0003-3971-5380,0000-0002-8442-127X,1
40008,0000-0003-4228-7866,0000-0001-6041-9661,1
40009,0000-0001-6041-9661,0000-0003-4228-7866,1
40010,0000-0002-6731-6398,0000-0002-5859-1064,1
40011,0000-0002-6731-6398,0000-0001-6966-0814,1
40012,0000-0002-5859-1064,0000-0002-6731-6398,1
40013,0000-0002-5859-1064,0000-0001-6966-0814,1
40014,0000-0002-5859-1064,0000-0002-7602-6675,1
40015,0000-0001-6966-0814,0000-0002-6731-6398,1
40016,0000-0001-6966-0814,0000-0002-5859-1064,1
40017,0000-0001-6966-0814,0000-0002-7602-6675,1
40018,0000-0002-7602-6675,0000-0002-5859-1064,1
40019,0000-0002-7602-6675,0000-0001-6966-0814,1
40020,0000-0003-2922-1600,0000-0001-7177-7763,1
40021,0000-0001-7177-7763,0000-0003-2922-1600,1
40022,0000-0001-5999-8811,0000-0001-6819-097X,1
40023,0000-0001-6819-097X,0000-0001-5999-8811,1
40024,0000-0002-2958-5458,0000-0003-2093-8250,1
40025,0000-0002-4405-8162,0000-0002-1600-4474,1
40026,0000-0002-4405-8162,0000-0003-2093-8250,1
40027,0000-0002-1600-4474,0000-0002-4405-8162,1
40028,0000-0002-1600-4474,0000-0003-2093-8250,1
40029,0000-0003-2093-8250,0000-0002-2958-5458,1
40030,0000-0003-2093-8250,0000-0002-4405-8162,1
40031,0000-0003-2093-8250,0000-0002-1600-4474,1
40032,0000-0002-1939-6389,0000-0002-6838-4245,1
40033,0000-0002-6838-4245,0000-0002-1939-6389,1
40034,0000-0002-9706-9316,0000-0003-0241-1121,1
40035,0000-0003-0241-1121,0000-0002-9706-9316,1
40036,0000-0001-7451-8548,0000-0002-4367-094X,1
40037,0000-0002-4367-094X,0000-0001-7451-8548,1
40038,0000-0002-0016-0747,0000-0002-1558-7831,1
40039,0000-0002-1558-7831,0000-0002-0016-0747,1
40040,0000-0002-3258-363X,0000-0002-6616-6885,1
40041,0000-0002-6616-6885,0000-0002-3258-363X,1
40042,0000-0002-6616-6885,0000-0002-7833-3388,1
40043,0000-0002-7833-3388,0000-0002-6616-6885,1
40044,0000-0002-5346-2829,0000-0003-1340-0647,1
40045,0000-0003-1340-0647,0000-0002-5346-2829,1
40046,0000-0001-7113-9024,0000-0003-1543-9342,1
40047,0000-0001-7113-9024,0000-0002-4839-8471,1
40048,0000-0003-1543-9342,0000-0001-7113-9024,1
40049,0000-0002-4839-8471,0000-0001-7113-9024,1
40050,0000-0003-0186-1411,0000-0001-5455-5819,2
40051,0000-0001-5455-5819,0000-0003-0186-1411,2
40052,0000-0003-4666-7567,0000-0001-7803-1657,1
40053,0000-0001-7803-1657,0000-0003-4666-7567,1
40054,0000-0001-6695-5297,0000-0001-5578-236X,1
40055,0000-0001-5578-236X,0000-0001-6695-5297,1
40056,0000-0002-9661-8344,0000-0002-8417-642X,1
40057,0000-0002-9661-8344,0000-0001-5197-5682,1
40058,0000-0002-8417-642X,0000-0002-9661-8344,1
40059,0000-0002-8417-642X,0000-0001-5197-5682,1
40060,0000-0001-5197-5682,0000-0002-9661-8344,1
40061,0000-0001-5197-5682,0000-0002-8417-642X,1
40062,0000-0003-4200-0191,0000-0002-4490-8569,1
40063,0000-0002-4490-8569,0000-0003-4200-0191,1
40064,0000-0001-7385-3563,0000-0002-2063-2860,1
40065,0000-0002-2063-2860,0000-0001-7385-3563,1
40066,0000-0002-5021-8636,0000-0001-9011-8675,1
40067,0000-0001-9011-8675,0000-0002-5021-8636,1
40068,0000-0002-0879-5798,0000-0002-9146-7284,1
40069,0000-0002-9146-7284,0000-0002-0879-5798,1
40070,0000-0002-5147-0331,0000-0002-8338-864X,1
40071,0000-0002-5147-0331,0000-0001-8245-357X,1
40072,0000-0002-8338-864X,0000-0002-5147-0331,1
40073,0000-0002-8338-864X,0000-0001-8245-357X,1
40074,0000-0001-8245-357X,0000-0002-5147-0331,1
40075,0000-0001-8245-357X,0000-0002-8338-864X,1
40076,0000-0003-4454-853X,0000-0002-1106-6123,1
40077,0000-0002-1106-6123,0000-0003-4454-853X,1
40078,0000-0002-9318-9732,0000-0002-1333-9076,1
40079,0000-0003-0586-2278,0000-0002-1333-9076,1
40080,0000-0002-3130-9807,0000-0002-1333-9076,1
40081,0000-0002-1333-9076,0000-0002-9318-9732,1
40082,0000-0002-1333-9076,0000-0003-0586-2278,1
40083,0000-0002-1333-9076,0000-0002-3130-9807,1
40084,0000-0001-6763-3804,0000-0002-1407-8314,1
40085,0000-0002-1407-8314,0000-0001-6763-3804,1
40086,0000-0002-0186-9774,0000-0001-8093-2454,1
40087,0000-0001-8093-2454,0000-0002-0186-9774,1
40088,0000-0003-4768-8431,0000-0002-5692-366X,1
40089,0000-0002-5692-366X,0000-0003-4768-8431,1
40090,0000-0001-7593-2708,0000-0002-4971-6902,1
40091,0000-0002-4971-6902,0000-0001-7593-2708,1
40092,0000-0003-3645-1455,0000-0001-7470-4324,1
40093,0000-0001-7470-4324,0000-0003-3645-1455,1
40094,0000-0001-6224-3073,0000-0001-8026-3369,1
40095,0000-0001-8026-3369,0000-0001-6224-3073,1
40096,0000-0003-2359-1280,0000-0003-0320-3498,1
40097,0000-0003-0320-3498,0000-0003-2359-1280,1
40098,0000-0002-9108-2384,0000-0002-0828-6176,1
40099,0000-0002-0828-6176,0000-0002-9108-2384,1
40100,0000-0001-5173-5080,0000-0002-8718-1988,1
40101,0000-0002-8718-1988,0000-0001-5173-5080,1
40102,0000-0002-9622-2091,0000-0001-6075-9738,1
40103,0000-0001-6075-9738,0000-0002-9622-2091,1
40104,0000-0003-3612-6687,0000-0003-3234-5639,1
40105,0000-0003-3234-5639,0000-0003-3612-6687,1
40106,0000-0002-6328-4560,0000-0003-2322-3314,1
40107,0000-0002-0693-1194,0000-0003-2322-3314,1
40108,0000-0003-2322-3314,0000-0002-6328-4560,1
40109,0000-0003-2322-3314,0000-0002-0693-1194,1
40110,0000-0001-6327-0575,0000-0001-9561-9110,1
40111,0000-0001-9561-9110,0000-0001-6327-0575,1
40112,0000-0002-8599-6091,0000-0002-7613-3745,1
40113,0000-0002-8599-6091,0000-0002-5278-8691,1
40114,0000-0002-7613-3745,0000-0002-8599-6091,1
40115,0000-0002-7613-3745,0000-0002-5278-8691,1
40116,0000-0002-5278-8691,0000-0002-8599-6091,1
40117,0000-0002-5278-8691,0000-0002-7613-3745,1
40118,0000-0003-2298-615X,0000-0002-8814-7706,1
40119,0000-0003-2298-615X,0000-0002-1699-5060,1
40120,0000-0002-8814-7706,0000-0003-2298-615X,1
40121,0000-0002-8814-7706,0000-0003-4598-5563,1
40122,0000-0003-4598-5563,0000-0002-8814-7706,1
40123,0000-0003-4598-5563,0000-0002-1699-5060,1
40124,0000-0002-1699-5060,0000-0003-2298-615X,1
40125,0000-0002-1699-5060,0000-0003-4598-5563,1
40126,0000-0003-0529-6069,0000-0003-1839-3335,1
40127,0000-0003-1839-3335,0000-0003-0529-6069,1
40128,0000-0001-6305-4442,0000-0002-3895-1915,1
40129,0000-0002-3895-1915,0000-0001-6305-4442,1
40130,0000-0003-0450-0814,0000-0001-6509-9177,1
40131,0000-0001-6509-9177,0000-0003-0450-0814,1
40132,0000-0001-6509-9177,0000-0002-3998-038X,1
40133,0000-0002-3998-038X,0000-0001-6509-9177,1
40134,0000-0001-9676-6251,0000-0002-0581-2003,1
40135,0000-0002-0581-2003,0000-0001-9676-6251,1
40136,0000-0002-5346-2829,0000-0002-4036-0874,1
40137,0000-0002-5346-2829,0000-0003-1614-6816,1
40138,0000-0002-4036-0874,0000-0002-5346-2829,1
40139,0000-0003-1614-6816,0000-0002-5346-2829,1
40140,0000-0003-1930-9684,0000-0001-6340-8087,1
40141,0000-0001-6340-8087,0000-0003-1930-9684,1
40142,0000-0002-6559-3746,0000-0002-0228-169X,1
40143,0000-0002-0228-169X,0000-0002-6559-3746,1
40144,0000-0002-0228-169X,0000-0002-0883-219X,1
40145,0000-0002-0228-169X,0000-0001-5311-929X,1
40146,0000-0002-0228-169X,0000-0002-0290-0315,1
40147,0000-0002-0883-219X,0000-0002-0228-169X,1
40148,0000-0001-5311-929X,0000-0002-0228-169X,1
40149,0000-0002-0290-0315,0000-0002-0228-169X,1
40150,0000-0002-1089-5675,0000-0002-7396-5116,1
40151,0000-0002-7396-5116,0000-0002-1089-5675,1
40152,0000-0002-9855-4305,0000-0001-8424-3365,1
40153,0000-0001-8424-3365,0000-0002-9855-4305,1
40154,0000-0002-9835-9606,0000-0003-1038-8232,1
40155,0000-0003-1038-8232,0000-0002-9835-9606,1
40156,0000-0002-5167-7922,0000-0001-6559-5736,1
40157,0000-0001-6559-5736,0000-0002-5167-7922,1
40158,0000-0002-7853-2694,0000-0002-4049-993X,1
40159,0000-0002-4049-993X,0000-0002-7853-2694,1
40160,0000-0002-9083-3107,0000-0003-1367-6467,1
40161,0000-0003-1367-6467,0000-0002-9083-3107,1
40162,0000-0001-5288-9372,0000-0003-2957-9071,1
40163,0000-0001-5288-9372,0000-0001-5602-7956,1
40164,0000-0003-2957-9071,0000-0001-5288-9372,1
40165,0000-0003-2957-9071,0000-0001-5602-7956,1
40166,0000-0001-5602-7956,0000-0001-5288-9372,1
40167,0000-0001-5602-7956,0000-0003-2957-9071,1
40168,0000-0001-6681-147X,0000-0002-6573-983X,1
40169,0000-0001-6681-147X,0000-0001-9097-7381,1
40170,0000-0002-6573-983X,0000-0001-6681-147X,1
40171,0000-0002-6573-983X,0000-0001-9097-7381,1
40172,0000-0001-9097-7381,0000-0001-6681-147X,1
40173,0000-0001-9097-7381,0000-0002-6573-983X,1
40174,0000-0001-5012-1140,0000-0003-2946-1962,2
40175,0000-0003-2946-1962,0000-0001-5012-1140,2
40176,0000-0002-8567-173X,0000-0002-2725-5535,1
40177,0000-0002-2725-5535,0000-0002-8567-173X,1
40178,0000-0002-0738-8453,0000-0002-5162-2403,1
40179,0000-0002-5162-2403,0000-0002-0738-8453,1
40180,0000-0002-1795-202X,0000-0001-6177-4809,1
40181,0000-0001-6177-4809,0000-0002-1795-202X,1
40182,0000-0002-9681-3342,0000-0002-9955-6003,1
40183,0000-0002-9955-6003,0000-0002-9681-3342,1
40184,0000-0001-9012-5330,0000-0001-9175-3363,1
40185,0000-0001-9175-3363,0000-0001-9012-5330,1
40186,0000-0001-8657-3800,0000-0002-0862-0533,2
40187,0000-0002-0862-0533,0000-0001-8657-3800,2
40188,0000-0003-2624-0654,0000-0002-6580-585X,1
40189,0000-0002-6580-585X,0000-0003-2624-0654,1
40190,0000-0002-5710-6100,0000-0002-4823-8179,1
40191,0000-0002-4823-8179,0000-0002-5710-6100,1
40192,0000-0001-7267-5398,0000-0002-4935-3291,1
40193,0000-0002-4935-3291,0000-0001-7267-5398,1
40194,0000-0001-7347-3691,0000-0001-9682-2639,1
40195,0000-0001-9682-2639,0000-0001-7347-3691,1
40196,0000-0002-4879-4140,0000-0001-5126-2009,2
40197,0000-0001-5126-2009,0000-0002-4879-4140,2
40198,0000-0003-1756-3654,0000-0002-7229-7398,1
40199,0000-0002-7229-7398,0000-0003-1756-3654,1
40200,0000-0002-9033-9686,0000-0002-1755-2819,1
40201,0000-0002-1755-2819,0000-0002-9033-9686,1
40202,0000-0001-8664-623X,0000-0003-0264-2093,1
40203,0000-0003-0264-2093,0000-0001-8664-623X,1
40204,0000-0002-3227-2620,0000-0002-5088-6343,1
40205,0000-0002-5088-6343,0000-0002-3227-2620,1
40206,0000-0002-0806-4960,0000-0001-9452-112X,1
40207,0000-0001-9452-112X,0000-0002-0806-4960,1
40208,0000-0003-3787-9138,0000-0002-6902-8488,1
40209,0000-0002-6902-8488,0000-0003-3787-9138,1
40210,0000-0002-6902-8488,0000-0002-9955-6003,1
40211,0000-0002-9955-6003,0000-0002-6902-8488,1
40212,0000-0001-8249-5593,0000-0002-6809-9225,1
40213,0000-0002-6809-9225,0000-0001-8249-5593,1
40214,0000-0002-9870-0966,0000-0001-6287-9725,1
40215,0000-0001-6287-9725,0000-0002-9870-0966,1
40216,0000-0003-2689-0008,0000-0003-0481-6843,1
40217,0000-0003-0481-6843,0000-0003-2689-0008,1
40218,0000-0003-1133-1174,0000-0003-1633-5318,1
40219,0000-0003-1633-5318,0000-0003-1133-1174,1
40220,0000-0002-7966-981X,0000-0003-3651-1980,1
40221,0000-0003-3651-1980,0000-0002-7966-981X,1
40222,0000-0002-9875-9765,0000-0002-5020-5544,1
40223,0000-0002-5020-5544,0000-0002-9875-9765,1
40224,0000-0001-9866-8268,0000-0001-5578-236X,1
40225,0000-0001-5578-236X,0000-0001-9866-8268,1
40226,0000-0002-6270-4789,0000-0002-5655-688X,1
40227,0000-0002-5655-688X,0000-0002-6270-4789,1
40228,0000-0002-4111-048X,0000-0003-2454-4355,1
40229,0000-0003-2454-4355,0000-0002-4111-048X,1
40230,0000-0002-6296-4484,0000-0003-3073-4518,2
40231,0000-0003-3073-4518,0000-0002-6296-4484,2
40232,0000-0002-3814-9172,0000-0001-9948-0670,1
40233,0000-0001-9948-0670,0000-0002-3814-9172,1
40234,0000-0003-2174-1118,0000-0002-1490-3070,1
40235,0000-0002-1490-3070,0000-0003-2174-1118,1
40236,0000-0002-1490-3070,0000-0002-2199-170X,1
40237,0000-0002-2199-170X,0000-0002-1490-3070,1
40238,0000-0001-5063-6961,0000-0002-3253-3608,1
40239,0000-0002-3253-3608,0000-0001-5063-6961,1
40240,0000-0002-9439-9168,0000-0002-5625-1170,1
40241,0000-0002-5625-1170,0000-0002-9439-9168,1
40242,0000-0002-5467-7071,0000-0001-7384-0594,1
40243,0000-0002-5467-7071,0000-0003-0341-1561,1
40244,0000-0002-5467-7071,0000-0002-0132-2410,1
40245,0000-0002-5467-7071,0000-0002-6129-7093,1
40246,0000-0002-5467-7071,0000-0002-6838-4245,1
40247,0000-0002-5467-7071,0000-0003-1745-8838,1
40248,0000-0002-5467-7071,0000-0001-9639-526X,1
40249,0000-0002-5467-7071,0000-0001-9258-9104,1
40250,0000-0002-5467-7071,0000-0002-9955-6003,1
40251,0000-0001-7384-0594,0000-0002-5467-7071,1
40252,0000-0001-7384-0594,0000-0003-0341-1561,1
40253,0000-0001-7384-0594,0000-0002-0132-2410,1
40254,0000-0001-7384-0594,0000-0002-6129-7093,1
40255,0000-0001-7384-0594,0000-0002-6838-4245,1
40256,0000-0001-7384-0594,0000-0003-1745-8838,1
40257,0000-0001-7384-0594,0000-0001-9639-526X,1
40258,0000-0001-7384-0594,0000-0001-9258-9104,1
40259,0000-0001-7384-0594,0000-0002-9955-6003,1
40260,0000-0003-0341-1561,0000-0002-5467-7071,1
40261,0000-0003-0341-1561,0000-0001-7384-0594,1
40262,0000-0003-0341-1561,0000-0002-0132-2410,1
40263,0000-0003-0341-1561,0000-0002-6129-7093,1
40264,0000-0003-0341-1561,0000-0002-6838-4245,1
40265,0000-0003-0341-1561,0000-0003-1745-8838,1
40266,0000-0003-0341-1561,0000-0001-9639-526X,1
40267,0000-0003-0341-1561,0000-0001-9258-9104,1
40268,0000-0003-0341-1561,0000-0002-9955-6003,1
40269,0000-0002-0132-2410,0000-0002-5467-7071,1
40270,0000-0002-0132-2410,0000-0001-7384-0594,1
40271,0000-0002-0132-2410,0000-0003-0341-1561,1
40272,0000-0002-0132-2410,0000-0002-6129-7093,1
40273,0000-0002-0132-2410,0000-0002-6838-4245,1
40274,0000-0002-0132-2410,0000-0003-1745-8838,1
40275,0000-0002-0132-2410,0000-0001-9639-526X,1
40276,0000-0002-0132-2410,0000-0001-9258-9104,1
40277,0000-0002-0132-2410,0000-0002-9955-6003,1
40278,0000-0002-6129-7093,0000-0002-5467-7071,1
40279,0000-0002-6129-7093,0000-0001-7384-0594,1
40280,0000-0002-6129-7093,0000-0003-0341-1561,1
40281,0000-0002-6129-7093,0000-0002-0132-2410,1
40282,0000-0002-6129-7093,0000-0002-6838-4245,1
40283,0000-0002-6129-7093,0000-0003-1745-8838,1
40284,0000-0002-6129-7093,0000-0001-9639-526X,1
40285,0000-0002-6129-7093,0000-0001-9258-9104,1
40286,0000-0002-6129-7093,0000-0002-9955-6003,1
40287,0000-0002-6838-4245,0000-0002-5467-7071,1
40288,0000-0002-6838-4245,0000-0001-7384-0594,1
40289,0000-0002-6838-4245,0000-0003-0341-1561,1
40290,0000-0002-6838-4245,0000-0002-0132-2410,1
40291,0000-0002-6838-4245,0000-0002-6129-7093,1
40292,0000-0002-6838-4245,0000-0003-1745-8838,1
40293,0000-0002-6838-4245,0000-0001-9639-526X,1
40294,0000-0002-6838-4245,0000-0001-9258-9104,1
40295,0000-0002-6838-4245,0000-0002-9955-6003,1
40296,0000-0003-1745-8838,0000-0002-5467-7071,1
40297,0000-0003-1745-8838,0000-0001-7384-0594,1
40298,0000-0003-1745-8838,0000-0003-0341-1561,1
40299,0000-0003-1745-8838,0000-0002-0132-2410,1
40300,0000-0003-1745-8838,0000-0002-6129-7093,1
40301,0000-0003-1745-8838,0000-0002-6838-4245,1
40302,0000-0003-1745-8838,0000-0001-9639-526X,1
40303,0000-0003-1745-8838,0000-0001-9258-9104,1
40304,0000-0003-1745-8838,0000-0002-9955-6003,1
40305,0000-0001-9639-526X,0000-0002-5467-7071,1
40306,0000-0001-9639-526X,0000-0001-7384-0594,1
40307,0000-0001-9639-526X,0000-0003-0341-1561,1
40308,0000-0001-9639-526X,0000-0002-0132-2410,1
40309,0000-0001-9639-526X,0000-0002-6129-7093,1
40310,0000-0001-9639-526X,0000-0002-6838-4245,1
40311,0000-0001-9639-526X,0000-0003-1745-8838,1
40312,0000-0001-9639-526X,0000-0001-9258-9104,1
40313,0000-0001-9639-526X,0000-0002-9955-6003,1
40314,0000-0001-9258-9104,0000-0002-5467-7071,1
40315,0000-0001-9258-9104,0000-0001-7384-0594,1
40316,0000-0001-9258-9104,0000-0003-0341-1561,1
40317,0000-0001-9258-9104,0000-0002-0132-2410,1
40318,0000-0001-9258-9104,0000-0002-6129-7093,1
40319,0000-0001-9258-9104,0000-0002-6838-4245,1
40320,0000-0001-9258-9104,0000-0003-1745-8838,1
40321,0000-0001-9258-9104,0000-0001-9639-526X,1
40322,0000-0002-9955-6003,0000-0002-5467-7071,1
40323,0000-0002-9955-6003,0000-0001-7384-0594,1
40324,0000-0002-9955-6003,0000-0003-0341-1561,1
40325,0000-0002-9955-6003,0000-0002-0132-2410,1
40326,0000-0002-9955-6003,0000-0002-6129-7093,1
40327,0000-0002-9955-6003,0000-0002-6838-4245,1
40328,0000-0002-9955-6003,0000-0003-1745-8838,1
40329,0000-0002-9955-6003,0000-0001-9639-526X,1
40330,0000-0002-6304-1710,0000-0003-1337-7897,1
40331,0000-0003-1337-7897,0000-0002-6304-1710,1
40332,0000-0002-1600-9259,0000-0002-0052-7991,1
40333,0000-0002-0052-7991,0000-0002-1600-9259,1
40334,0000-0003-2876-0004,0000-0003-3351-5919,1
40335,0000-0003-3351-5919,0000-0003-2876-0004,1
40336,0000-0002-1589-2254,0000-0003-1240-5438,1
40337,0000-0003-1240-5438,0000-0002-1589-2254,1
40338,0000-0002-8348-5829,0000-0002-1305-3502,1
40339,0000-0002-1305-3502,0000-0002-8348-5829,1
