,codigo_autor,codigo_coautor,num_publicaciones
280,0000-0003-2018-3476,0000-0001-5455-5819,1
281,0000-0001-5455-5819,0000-0003-2018-3476,1
282,0000-0002-7593-5607,0000-0002-6145-2532,18
283,0000-0002-6145-2532,0000-0002-7593-5607,18
284,0000-0001-6063-1937,0000-0002-8567-173X,20
285,0000-0002-8567-173X,0000-0001-6063-1937,20
286,0000-0002-4084-6639,0000-0003-1376-8409,1
287,0000-0003-1376-8409,0000-0002-4084-6639,1
288,0000-0002-9855-4305,0000-0002-9404-7736,24
289,0000-0002-9404-7736,0000-0002-9855-4305,24
290,0000-0003-1032-5987,0000-0003-4109-3488,15
291,0000-0003-4109-3488,0000-0003-1032-5987,15
292,0000-0002-8814-7706,0000-0003-0629-4882,6
293,0000-0003-0629-4882,0000-0002-8814-7706,6
294,0000-0001-6380-2324,0000-0001-7369-1322,3
295,0000-0001-6380-2324,0000-0002-3986-7686,3
296,0000-0001-6380-2324,0000-0002-0167-3771,1
297,0000-0001-6380-2324,0000-0003-3957-9470,1
298,0000-0001-7369-1322,0000-0001-6380-2324,3
299,0000-0001-7369-1322,0000-0002-3986-7686,4
300,0000-0001-7369-1322,0000-0002-0167-3771,10
301,0000-0001-7369-1322,0000-0003-3957-9470,1
302,0000-0002-3986-7686,0000-0001-6380-2324,3
303,0000-0002-3986-7686,0000-0001-7369-1322,4
304,0000-0002-3986-7686,0000-0002-0167-3771,1
305,0000-0002-3986-7686,0000-0003-3957-9470,1
306,0000-0002-0167-3771,0000-0001-6380-2324,1
307,0000-0002-0167-3771,0000-0001-7369-1322,10
308,0000-0002-0167-3771,0000-0002-3986-7686,1
309,0000-0002-0167-3771,0000-0003-3957-9470,1
310,0000-0003-3957-9470,0000-0001-6380-2324,1
311,0000-0003-3957-9470,0000-0001-7369-1322,1
312,0000-0003-3957-9470,0000-0002-3986-7686,1
313,0000-0003-3957-9470,0000-0002-0167-3771,1
314,0000-0003-0626-7665,0000-0001-8783-6959,23
315,0000-0001-8783-6959,0000-0003-0626-7665,23
316,0000-0002-0583-4595,0000-0003-3022-2483,1
317,0000-0003-3022-2483,0000-0002-0583-4595,1
318,0000-0003-2011-2790,0000-0001-9530-0820,12
