Unnamed: 0,codigo_autor,publicaciones_totales
667,0000-0003-1415-8282,14
668,0000-0002-5204-9477,15
669,0000-0002-1287-4560,103
670,0000-0003-2879-0326,18
672,0000-0002-8545-4452,38
673,0000-0002-9466-4531,79
674,0000-0002-7787-0122,341
675,0000-0003-2915-2094,25
676,0000-0002-4044-9166,15
677,0000-0002-7349-3729,50
678,0000-0003-1752-3986,41
679,0000-0001-8311-1360,20
680,0000-0002-7170-2291,47
681,0000-0001-7969-492X,27
682,0000-0002-4550-8460,40
683,0000-0003-0831-9801,92
685,0000-0002-3252-3119,60
686,0000-0002-0152-1225,51
687,0000-0001-8332-8439,54
688,0000-0003-2615-5695,20
689,0000-0001-8493-1168,101
690,0000-0001-8438-9559,12
691,0000-0002-0065-2899,23
692,0000-0001-8549-6903,19
693,0000-0001-9803-9584,10
694,0000-0001-9999-5359,61
695,0000-0002-0269-3352,54
696,0000-0003-0265-2638,13
697,0000-0001-7843-5969,33
698,0000-0002-3732-3570,72
699,0000-0002-6942-3023,15
700,0000-0001-6910-2089,19
702,0000-0002-5538-182X,10
703,0000-0003-3612-6687,65
704,0000-0002-8955-8283,180
705,0000-0001-7214-5901,5
706,0000-0003-3210-4771,25
707,0000-0003-3879-4400,23
709,0000-0002-7853-2694,54
711,0000-0003-4038-3192,55
712,0000-0003-2035-5485,5
714,0000-0002-7745-3572,32
715,0000-0002-9615-3022,76
716,0000-0003-2619-6809,7
717,0000-0003-2127-5671,11
718,0000-0003-3314-9242,21
720,0000-0002-1250-7656,73
721,0000-0002-6296-5137,25
722,0000-0003-0850-4337,36
723,0000-0001-6869-8431,36
724,0000-0002-6862-1810,58
725,0000-0002-6344-697X,28
726,0000-0001-7536-3453,98
728,0000-0002-6459-0893,88
729,0000-0002-2915-3970,76
730,0000-0002-8152-6017,21
732,0000-0002-9673-2622,5
733,0000-0002-5311-9457,66
734,0000-0003-0449-0839,89
735,0000-0002-2895-1348,10
736,0000-0003-3968-6364,60
737,0000-0002-2841-0306,21
738,0000-0001-8567-3543,44
739,0000-0002-6168-5467,4
740,0000-0003-2203-4466,6
741,0000-0002-3224-6078,25
742,0000-0002-0742-6990,21
