codigo_autor,codigo_coautor,num_coautorías,num_publicaciones_totales,coautorías_normalizadas
0000-0002-7069-5958,0000-0001-5099-8495,19,205,0.09268292682926829
0000-0001-5099-8495,0000-0002-7069-5958,19,43,0.4418604651162791
0000-0002-8430-3214,0000-0002-0331-1774,2,43,0.046511627906976744
0000-0002-0331-1774,0000-0002-8430-3214,2,8,0.25
0000-0002-5663-8025,0000-0003-4421-2876,1,20,0.05
0000-0003-4421-2876,0000-0002-5663-8025,1,26,0.038461538461538464
0000-0002-6498-4008,0000-0001-8153-1441,1,30,0.03333333333333333
0000-0001-8153-1441,0000-0002-6498-4008,1,51,0.0196078431372549
0000-0002-8997-835X,0000-0002-1599-4509,16,47,0.3404255319148936
0000-0002-1599-4509,0000-0002-8997-835X,16,16,1.0
0000-0001-9032-9691,0000-0002-5284-856X,5,26,0.19230769230769232
0000-0002-5284-856X,0000-0001-9032-9691,5,6,0.8333333333333334
0000-0002-6713-9328,0000-0001-5483-7592,1,4,0.25
0000-0001-5483-7592,0000-0002-6713-9328,1,10,0.1
0000-0002-4300-455X,0000-0002-7722-7348,3,49,0.061224489795918366
0000-0002-7722-7348,0000-0002-4300-455X,3,37,0.08108108108108109
0000-0002-5864-0129,0000-0003-4182-2222,2,24,0.08333333333333333
0000-0003-4182-2222,0000-0002-5864-0129,2,25,0.08
0000-0002-0579-3279,0000-0002-7906-3420,5,139,0.03597122302158273
0000-0002-7906-3420,0000-0002-0579-3279,5,38,0.13157894736842105
0000-0001-7175-1096,0000-0002-7681-2844,3,11,0.2727272727272727
0000-0001-7175-1096,0000-0002-0156-2238,9,11,0.8181818181818182
0000-0002-7681-2844,0000-0001-7175-1096,3,127,0.023622047244094488
0000-0002-7681-2844,0000-0002-0156-2238,12,127,0.09448818897637795
0000-0002-0156-2238,0000-0001-7175-1096,9,102,0.08823529411764706
0000-0002-0156-2238,0000-0002-7681-2844,12,102,0.11764705882352941
0000-0003-4873-708X,0000-0002-2153-1391,12,17,0.7058823529411765
0000-0002-2153-1391,0000-0003-4873-708X,12,19,0.631578947368421
