,codigo_autor,publicaciones_totales
15176,0000-0003-1325-9284,12
15177,0000-0001-6837-0460,3
15178,0000-0002-2931-1123,2
15179,0000-0002-0679-1523,6
15180,0000-0002-8825-7067,1
15181,0000-0003-0965-3617,1
15182,0000-0003-4320-9907,11
15183,0000-0003-3973-7045,6
15184,0000-0001-5693-3721,4
15185,0000-0002-7159-8578,2
15186,0000-0001-5075-5792,20
15187,0000-0002-1837-687X,2
15188,0000-0003-2599-8105,1
15189,0000-0001-7006-6361,8
15190,0000-0001-9355-4413,2
15191,0000-0002-6635-2717,4
15192,0000-0001-7439-1022,3
15193,0000-0002-1260-2979,6
15194,0000-0002-5496-752X,3
15195,0000-0002-0197-1736,3
15196,0000-0002-1791-1842,1
15197,0000-0001-6995-1670,4
15198,0000-0003-2592-7649,3
15199,0000-0002-2368-6960,1
15200,0000-0002-9049-0829,3
15201,0000-0002-4627-1821,3
15202,0000-0002-9747-3431,2
15203,0000-0001-5974-7393,2
15204,0000-0001-6674-9215,3
15205,0000-0002-4350-3375,1
15206,0000-0002-9937-6985,3
15207,0000-0003-0455-8370,12
15208,0000-0002-4861-3960,3
15209,0000-0003-3341-7139,1
15210,0000-0002-6545-464X,1
15211,0000-0002-5466-6444,12
15212,0000-0002-9813-0959,2
15213,0000-0002-0745-4537,15
15214,0000-0003-0951-2208,7
15215,0000-0002-2259-6883,2
15216,0000-0001-8215-3286,1
15217,0000-0002-6538-9980,1
15218,0000-0002-7835-2263,5
15219,0000-0002-3183-0010,2
15220,0000-0002-9830-439X,4
15221,0000-0003-1280-3321,1
15222,0000-0002-1302-906X,1
15223,0000-0003-2117-6753,1
15224,0000-0002-8829-9304,3
15225,0000-0003-4088-0025,7
15226,0000-0001-7941-5281,4
15227,0000-0002-1558-9423,3
15228,0000-0002-3332-789X,4
15229,0000-0002-9073-3376,6
15230,0000-0002-1799-1125,12
15231,0000-0002-3317-7369,6
15232,0000-0002-2417-9848,2
15233,0000-0002-6801-4578,14
15234,0000-0002-4659-564X,10
15235,0000-0002-3063-6929,4
15236,0000-0001-5278-5952,9
15237,0000-0002-4218-5053,9
15238,0000-0002-0172-9288,11
15239,0000-0002-3095-7714,1
15240,0000-0001-9539-3916,1
15241,0000-0001-9423-0023,1
15242,0000-0002-2697-2014,7
15243,0000-0003-4983-8827,7
15244,0000-0002-1833-4928,6
15245,0000-0003-4931-3924,10
15246,0000-0002-5059-5597,4
15247,0000-0002-5711-4872,1
15248,0000-0002-9620-538X,11
15249,0000-0002-9710-3131,9
15250,0000-0001-6782-8361,5
15251,0000-0003-2442-2008,7
15252,0000-0002-9383-3057,3
15253,0000-0001-9844-3245,10
15254,0000-0002-9518-4329,2
15255,0000-0002-4747-5535,7
15256,0000-0003-2663-9059,1
15257,0000-0003-0554-7569,2
15258,0000-0002-2821-9501,3
15259,0000-0003-4278-7721,4
15260,0000-0003-0107-9374,3
15261,0000-0002-6655-3914,4
15262,0000-0003-0334-408X,14
15263,0000-0002-4688-0598,8
15264,0000-0001-9853-7946,2
15265,0000-0003-2548-9183,2
15266,0000-0001-5392-7174,9
15267,0000-0002-3269-7143,2
15268,0000-0003-4819-2112,4
15269,0000-0002-0050-4167,7
15270,0000-0003-4793-1171,3
15271,0000-0002-7141-9904,6
15272,0000-0002-7861-8789,1
15273,0000-0002-2433-8933,9
15274,0000-0002-4153-9315,5
15275,0000-0003-2996-9571,4
15276,0000-0002-8984-2671,2
15277,0000-0003-3937-2816,6
15278,0000-0001-6413-6028,2
15279,0000-0003-4841-9794,4
15280,0000-0002-7367-6613,2
15281,0000-0002-1836-2603,3
15282,0000-0001-9340-8125,3
15283,0000-0001-6811-2883,8
15284,0000-0001-5403-1708,1
15285,0000-0001-9752-8175,5
15286,0000-0003-1491-5116,11
15287,0000-0002-7293-6735,3
15288,0000-0002-6673-052X,6
15289,0000-0003-4144-2019,2
15290,0000-0002-1042-8452,9
15291,0000-0003-3891-6471,2
15292,0000-0002-0947-7687,4
15293,0000-0002-3633-3654,7
15294,0000-0002-4848-728X,2
15295,0000-0002-1741-669X,2
15296,0000-0001-5002-2273,4
15297,0000-0003-1432-8894,1
15298,0000-0002-9856-356X,2
15299,0000-0003-3499-8262,5
15300,0000-0002-4340-2320,1
15301,0000-0003-4021-4532,4
15302,0000-0001-7821-7398,9
15303,0000-0002-5295-870X,1
15304,0000-0002-4482-1156,1
15305,0000-0003-2477-1646,9
15306,0000-0002-7404-3340,4
15307,0000-0002-7911-2632,5
15308,0000-0002-6145-5821,1
15309,0000-0002-1188-445X,11
15310,0000-0001-6179-9643,1
15311,0000-0002-5824-0811,5
15312,0000-0003-1806-7927,6
15313,0000-0001-8028-0708,3
15314,0000-0002-8399-4009,3
15315,0000-0002-3886-4360,4
15316,0000-0002-0500-6247,4
15317,0000-0001-6855-2192,2
15318,0000-0002-6609-6055,1
15319,0000-0002-1722-3724,4
15320,0000-0002-8339-8960,7
15321,0000-0002-2172-5815,1
15322,0000-0003-0571-3918,3
15323,0000-0003-4031-9131,5
15324,0000-0003-2807-846X,2
15325,0000-0002-0489-609X,17
15326,0000-0003-2735-3204,11
15327,0000-0001-6618-3784,4
15328,0000-0003-1182-7727,1
15329,0000-0003-0011-0309,2
15330,0000-0001-6244-1395,4
15331,0000-0003-2016-1373,3
15332,0000-0001-7151-0540,1
15333,0000-0002-0117-5369,1
15334,0000-0002-3230-7424,4
15335,0000-0003-4616-8151,2
15336,0000-0003-1601-731X,3
15337,0000-0003-3228-6501,6
15338,0000-0003-1437-7039,5
15339,0000-0001-5694-4201,5
15340,0000-0003-4175-0214,2
15341,0000-0002-8548-8791,3
15342,0000-0003-2579-7848,5
15343,0000-0002-9938-3931,3
15344,0000-0003-2872-8426,5
15345,0000-0002-3371-2800,3
15346,0000-0002-0320-969X,4
15347,0000-0003-4735-5776,14
15348,0000-0001-8349-3151,2
15349,0000-0003-2664-3357,11
15350,0000-0001-9376-7136,3
15351,0000-0002-5843-9660,1
15352,0000-0002-0883-0610,2
15353,0000-0002-8067-4341,4
15354,0000-0002-1974-8735,9
15355,0000-0003-4970-9857,4
15356,0000-0002-8812-6657,1
15357,0000-0002-0393-0436,2
15358,0000-0002-9163-103X,2
15359,0000-0003-2997-8515,4
15360,0000-0002-9222-5885,4
15361,0000-0001-5710-9574,2
15362,0000-0002-7596-7641,1
15363,0000-0002-1618-3636,4
15364,0000-0003-4879-6098,5
15365,0000-0002-8593-6742,3
15366,0000-0001-8818-1763,1
15367,0000-0002-4137-9016,5
15368,0000-0002-2576-9620,1
15369,0000-0003-1653-515X,3
15370,0000-0002-5486-239X,2
15371,0000-0002-4856-5364,5
15372,0000-0002-3747-8484,2
15373,0000-0002-7545-5611,6
15374,0000-0002-7476-8675,2
15375,0000-0002-9414-9898,10
15376,0000-0001-6295-9645,3
15377,0000-0002-5935-6074,1
15378,0000-0001-9809-6976,1
15379,0000-0003-4429-9780,3
15380,0000-0002-8885-8671,15
15381,0000-0001-8514-1707,3
15382,0000-0002-4968-8809,1
15383,0000-0002-8853-639X,6
15384,0000-0003-3050-515X,3
15385,0000-0002-8641-636X,2
15386,0000-0003-1954-3198,2
15387,0000-0001-5364-9602,8
15388,0000-0003-1385-8439,4
15389,0000-0002-9869-3874,5
15390,0000-0001-8419-2721,3
15391,0000-0001-6377-1361,4
15392,0000-0001-8201-5406,3
15393,0000-0001-9746-6381,2
15394,0000-0002-5814-5865,1
15395,0000-0002-1296-6940,3
15396,0000-0003-0317-9854,1
15397,0000-0001-7990-3904,11
15398,0000-0002-8650-8344,1
15399,0000-0001-8918-9249,1
15400,0000-0002-6458-1647,2
15401,0000-0002-8627-1113,2
15402,0000-0002-9643-6858,1
15403,0000-0003-2137-7387,6
15404,0000-0003-0909-9839,5
15405,0000-0002-7922-1345,6
15406,0000-0003-2328-2162,1
15407,0000-0002-3128-8081,2
15408,0000-0002-3237-044X,6
15409,0000-0001-9447-5805,3
15410,0000-0002-3897-2732,1
15411,0000-0003-3327-4377,2
15412,0000-0002-4722-5114,1
15413,0000-0002-7643-3887,4
15414,0000-0002-7188-550X,7
15415,0000-0002-4133-351X,3
15416,0000-0002-3305-7471,2
15417,0000-0002-7178-2981,1
15418,0000-0001-8264-0885,1
15419,0000-0003-0996-0713,1
15420,0000-0003-3857-4133,5
15421,0000-0002-3780-8164,4
15422,0000-0002-7507-4560,13
15423,0000-0001-7487-944X,8
15424,0000-0001-9636-990X,5
15425,0000-0002-1404-1511,2
15426,0000-0002-0098-827X,5
15427,0000-0002-0539-2379,4
15428,0000-0003-3022-4868,2
15429,0000-0002-6757-2068,10
15430,0000-0002-0314-8284,9
15431,0000-0002-3412-2642,1
15432,0000-0001-6960-357X,1
15433,0000-0002-5659-662X,8
15434,0000-0002-8002-5376,3
15435,0000-0001-9976-8316,2
15436,0000-0002-5997-5641,4
15437,0000-0002-6403-2488,1
15438,0000-0001-6755-8816,4
15439,0000-0002-1515-8260,3
15440,0000-0001-6111-2514,2
15441,0000-0002-1927-2271,6
15442,0000-0001-9058-4350,1
15443,0000-0001-7491-1999,10
15444,0000-0002-4276-635X,8
15445,0000-0003-3261-2979,4
15446,0000-0002-1079-6941,1
15447,0000-0002-4425-5174,1
15448,0000-0003-4582-5148,4
15449,0000-0002-2186-3484,3
15450,0000-0002-9184-6524,3
15451,0000-0002-8538-8838,7
15452,0000-0002-0384-4589,1
15453,0000-0002-7054-8552,3
15454,0000-0001-7142-3770,3
15455,0000-0003-1083-4466,1
15456,0000-0002-5285-6578,6
15457,0000-0001-8610-748X,1
15458,0000-0001-6186-6156,8
15459,0000-0001-7221-5551,5
15460,0000-0003-2344-6032,3
15461,0000-0003-2122-7506,2
15462,0000-0002-9153-7414,4
15463,0000-0002-0685-538X,5
15464,0000-0002-8849-744X,1
15465,0000-0002-1839-1113,9
15466,0000-0003-3915-4640,4
15467,0000-0002-2778-1121,3
15468,0000-0002-4041-3702,6
15469,0000-0001-6397-9410,2
15470,0000-0001-7098-359X,10
15471,0000-0001-5356-8706,2
15472,0000-0003-1110-6495,3
15473,0000-0001-9046-8739,3
15474,0000-0001-7261-3314,2
15475,0000-0002-7286-9034,2
15476,0000-0002-1665-7723,7
15477,0000-0003-0027-9905,1
15478,0000-0003-4479-0238,5
15479,0000-0001-5314-1403,6
15480,0000-0003-3727-5131,4
15481,0000-0002-6643-3269,2
15482,0000-0001-8313-567X,1
15483,0000-0002-3455-2351,2
15484,0000-0002-2940-8750,9
15485,0000-0002-4444-6544,2
15486,0000-0002-3243-3869,3
15487,0000-0002-3254-4577,8
15488,0000-0002-6082-2108,2
15489,0000-0002-2244-8004,5
15490,0000-0001-5303-515X,2
15491,0000-0002-2062-6006,2
15492,0000-0002-5208-3077,1
15493,0000-0002-0567-6101,8
15494,0000-0002-3558-5198,7
15495,0000-0002-0558-2666,11
15496,0000-0003-3533-2972,10
15497,0000-0002-6305-4159,5
15498,0000-0001-7038-3287,10
15499,0000-0002-1309-446X,10
15500,0000-0002-8542-654X,2
15501,0000-0001-9183-8367,2
15502,0000-0002-6780-2601,10
15503,0000-0001-7446-4033,4
15504,0000-0002-0077-2188,6
15505,0000-0001-9902-6048,3
15506,0000-0002-2461-9954,8
15507,0000-0002-9749-9658,8
15508,0000-0001-9236-2049,6
15509,0000-0002-5414-7126,9
15510,0000-0001-6372-3669,13
15511,0000-0003-3418-4218,3
15512,0000-0002-0611-7272,3
15513,0000-0001-6184-7449,1
15514,0000-0003-1972-1281,3
15515,0000-0003-1758-5095,2
15516,0000-0003-3607-5525,1
15517,0000-0003-2102-6130,4
15518,0000-0002-9772-3066,9
15519,0000-0002-9861-3109,2
15520,0000-0002-2692-5533,6
15521,0000-0001-5329-475X,2
15522,0000-0002-7804-4359,5
15523,0000-0002-2720-1473,5
15524,0000-0001-7195-7422,4
15525,0000-0001-5168-2361,2
15526,0000-0003-4883-9924,7
15527,0000-0001-8871-2579,8
15528,0000-0002-0433-1611,5
15529,0000-0002-2497-020X,12
15530,0000-0001-8702-8249,1
15531,0000-0002-7944-2180,5
15532,0000-0003-3783-6197,20
15533,0000-0001-9208-5336,4
15534,0000-0001-7195-9559,5
15535,0000-0002-0310-8995,1
15536,0000-0001-9824-3956,4
15537,0000-0001-7115-710X,1
15538,0000-0003-4691-0969,3
15539,0000-0002-6006-7894,2
15540,0000-0002-9303-3324,5
15541,0000-0003-2723-4328,4
15542,0000-0002-4996-3217,4
15543,0000-0002-9815-5195,9
15544,0000-0001-9826-9478,3
15545,0000-0002-1917-0435,2
15546,0000-0001-8325-0117,13
15547,0000-0003-3353-5039,1
15548,0000-0001-8317-3633,2
15549,0000-0002-1426-9540,7
15550,0000-0002-3167-8549,5
15551,0000-0001-8250-1842,12
15552,0000-0003-3698-2352,7
15553,0000-0002-7155-8744,1
15554,0000-0002-4467-9196,7
15555,0000-0002-7263-6505,1
15556,0000-0001-9820-8675,2
15557,0000-0002-9854-3219,1
15558,0000-0003-0025-8362,2
15559,0000-0001-6746-8511,5
15560,0000-0003-4135-2881,1
15561,0000-0002-1153-3772,4
15562,0000-0001-8752-5085,2
15563,0000-0002-9726-0786,3
15564,0000-0001-5774-4607,6
15565,0000-0001-5136-8532,1
15566,0000-0002-8954-2783,11
15567,0000-0003-0221-8508,4
15568,0000-0002-1529-3198,5
15569,0000-0002-7560-6125,1
15570,0000-0002-8088-6096,2
15571,0000-0001-5561-485X,2
15572,0000-0003-2211-3842,8
15573,0000-0001-7008-923X,1
15574,0000-0002-7464-3645,8
15575,0000-0002-5482-0771,3
15576,0000-0001-7434-1201,6
15577,0000-0002-2408-5307,7
15578,0000-0001-5581-208X,7
15579,0000-0002-2105-1937,6
15580,0000-0001-9744-7332,3
15581,0000-0002-6182-958X,3
15582,0000-0001-6826-1539,3
15583,0000-0002-8978-458X,6
15584,0000-0002-6593-1995,2
15585,0000-0002-6947-9406,8
15586,0000-0003-2226-822X,6
15587,0000-0002-0201-3919,3
15588,0000-0002-5086-2560,6
15589,0000-0002-1194-9380,1
15590,0000-0002-0447-2764,3
15591,0000-0003-3154-8864,5
15592,0000-0001-5775-8427,5
15593,0000-0003-3974-7921,1
15594,0000-0002-3333-3720,5
15595,0000-0002-8919-8863,2
15596,0000-0002-0991-041X,1
15597,0000-0001-9967-8409,1
15598,0000-0001-7637-0727,2
15599,0000-0002-2397-3847,1
15600,0000-0002-6512-996X,5
15601,0000-0001-8372-2970,6
15602,0000-0002-5750-7852,4
15603,0000-0002-8700-7023,2
15604,0000-0002-6355-7581,1
15605,0000-0002-9505-4081,2
15606,0000-0001-6554-1463,5
15607,0000-0002-8438-7518,6
15608,0000-0002-0792-3372,6
15609,0000-0002-0293-9527,2
15610,0000-0001-5711-2618,5
15611,0000-0003-0450-0814,5
15612,0000-0001-6963-4931,2
15613,0000-0001-7986-567X,1
15614,0000-0002-9652-1382,5
15615,0000-0001-6976-8171,3
15616,0000-0002-4140-9959,2
15617,0000-0002-4830-9184,7
15618,0000-0002-8188-4914,4
15619,0000-0001-5369-9140,5
15620,0000-0002-8661-1229,2
15621,0000-0003-2815-7133,6
15622,0000-0003-3504-695X,3
15623,0000-0001-9717-6667,3
15624,0000-0003-2666-8300,2
15625,0000-0003-3012-6053,1
15626,0000-0002-6307-6948,2
15627,0000-0001-8642-5007,4
15628,0000-0003-0045-6959,1
15629,0000-0001-7992-8343,5
15630,0000-0001-8586-2889,1
15631,0000-0002-3240-1496,1
15632,0000-0001-5871-0265,5
15633,0000-0003-4206-9164,3
15634,0000-0002-5797-1233,3
15635,0000-0001-7935-3842,3
15636,0000-0003-0371-0844,14
15637,0000-0001-7792-9895,7
15638,0000-0002-6943-9922,5
15639,0000-0001-8914-8666,1
15640,0000-0003-2349-873X,4
15641,0000-0001-5816-5172,1
15642,0000-0001-7476-1652,8
15643,0000-0001-9274-9470,3
15644,0000-0002-9302-6802,2
15645,0000-0002-4646-4172,4
15646,0000-0002-0009-9093,3
15647,0000-0002-9080-3303,5
15648,0000-0003-1968-3326,6
15649,0000-0002-7830-5977,3
15650,0000-0002-4642-7064,2
15651,0000-0002-0733-579X,5
15652,0000-0003-0297-8267,2
15653,0000-0002-1994-543X,1
15654,0000-0001-8761-8759,1
15655,0000-0002-6161-7173,1
15656,0000-0001-9215-5154,9
15657,0000-0001-9380-0338,4
15658,0000-0003-3930-7272,2
15659,0000-0003-0984-5504,4
15660,0000-0003-1752-7450,3
15661,0000-0002-8613-7467,2
15662,0000-0002-5949-4223,2
15663,0000-0002-4171-4099,6
15664,0000-0002-4640-2692,2
15665,0000-0003-4990-7554,5
15666,0000-0003-0046-5513,14
15667,0000-0002-8473-6116,2
15668,0000-0003-0237-4228,7
15669,0000-0001-6598-3579,4
15670,0000-0001-8077-6092,4
15671,0000-0003-1450-4472,2
15672,0000-0001-7466-5353,11
15673,0000-0002-3445-3003,1
15674,0000-0002-8261-2275,1
15675,0000-0001-5890-6065,5
15676,0000-0003-2073-8275,3
15677,0000-0001-9787-3796,1
15678,0000-0003-2366-3598,19
15679,0000-0001-6589-7697,5
15680,0000-0002-1593-0361,9
15681,0000-0002-7399-4603,4
15682,0000-0002-3492-9841,3
15683,0000-0002-7768-2199,2
15684,0000-0003-0449-8582,5
15685,0000-0001-8755-7757,1
15686,0000-0002-1442-9751,7
15687,0000-0002-8569-9695,4
15688,0000-0003-1703-1025,6
15689,0000-0001-5363-3061,1
15690,0000-0003-1687-9788,2
15691,0000-0002-0283-3503,8
15692,0000-0001-8980-3202,16
15693,0000-0002-4576-1124,5
15694,0000-0003-1099-3328,2
15695,0000-0002-9949-9424,2
15696,0000-0003-3005-9030,2
15697,0000-0002-7166-4336,3
15698,0000-0001-7165-6216,7
15699,0000-0001-8505-1680,5
15700,0000-0002-6285-586X,5
15701,0000-0002-1718-1712,2
15702,0000-0002-1629-9671,4
15703,0000-0002-2574-2225,1
15704,0000-0002-0812-5823,2
15705,0000-0001-8274-5855,1
15706,0000-0003-1120-7798,2
15707,0000-0002-2822-030X,1
15708,0000-0003-1721-4104,2
15709,0000-0002-5245-1757,5
15710,0000-0002-7532-3395,17
15711,0000-0003-4240-3265,3
15712,0000-0002-8707-5376,2
15713,0000-0001-8131-4340,2
15714,0000-0001-9182-9401,3
15715,0000-0002-5932-4101,10
15716,0000-0002-5253-0586,1
15717,0000-0001-5192-0796,2
15718,0000-0001-9397-6966,1
15719,0000-0001-9618-2176,6
15720,0000-0001-8439-151X,2
15721,0000-0003-1102-0755,5
15722,0000-0002-4055-3553,3
15723,0000-0001-6104-462X,5
15724,0000-0001-7736-9162,2
15725,0000-0003-4866-145X,1
15726,0000-0002-7247-9183,3
15727,0000-0002-7624-7355,1
15728,0000-0002-7591-1373,5
15729,0000-0001-9206-5845,4
15730,0000-0002-9136-7099,2
15731,0000-0002-7161-4355,3
15732,0000-0001-7960-6504,2
15733,0000-0002-6388-4566,7
15734,0000-0001-8354-2398,9
15735,0000-0002-7454-5412,2
15736,0000-0003-1280-6645,1
15737,0000-0002-6270-7234,4
15738,0000-0002-8428-1895,1
15739,0000-0001-7023-3668,3
15740,0000-0003-1001-8207,9
15741,0000-0002-1648-8093,5
15742,0000-0003-4413-0651,7
15743,0000-0001-5017-9473,1
15744,0000-0002-1181-5112,7
15745,0000-0001-5681-7042,5
15746,0000-0003-4394-9438,7
15747,0000-0001-7028-6452,10
15748,0000-0002-5598-222X,2
15749,0000-0002-7261-8868,3
15750,0000-0002-1808-1799,5
15751,0000-0002-7173-7486,1
15752,0000-0002-5202-4333,5
15753,0000-0001-7870-3820,6
15754,0000-0002-9282-3324,6
15755,0000-0002-2599-8474,3
15756,0000-0002-2514-4719,5
15757,0000-0003-4762-1173,1
15758,0000-0001-8026-3369,2
15759,0000-0001-9532-7417,1
15760,0000-0003-3536-1212,1
15761,0000-0003-2513-573X,1
15762,0000-0003-3836-0848,3
15763,0000-0003-3676-4486,6
15764,0000-0002-7686-6092,5
15765,0000-0003-3618-1715,7
15766,0000-0002-7552-0655,1
15767,0000-0003-4734-214X,3
15768,0000-0001-8757-9403,2
15769,0000-0001-6873-2855,1
15770,0000-0002-3190-5094,3
15771,0000-0002-1311-6550,2
15772,0000-0002-9084-2636,7
15773,0000-0002-6636-3133,2
15774,0000-0001-6071-6922,2
15775,0000-0002-5238-6959,7
15776,0000-0003-0966-1983,4
15777,0000-0001-5082-1112,2
15778,0000-0002-9193-9712,8
15779,0000-0003-4200-2779,2
15780,0000-0003-0991-6237,3
15781,0000-0002-1838-1337,6
15782,0000-0003-0914-0512,2
15783,0000-0002-2210-9547,2
15784,0000-0001-7830-1215,2
15785,0000-0002-1803-1126,1
15786,0000-0002-4260-4799,6
15787,0000-0002-0213-9781,6
15788,0000-0002-6372-1476,4
15789,0000-0001-9366-0726,2
15790,0000-0001-5058-0312,5
15791,0000-0003-4838-7227,6
15792,0000-0001-5659-5291,1
15793,0000-0002-1949-2362,2
15794,0000-0002-0407-407X,2
15795,0000-0002-5296-9265,3
15796,0000-0002-7654-4405,1
15797,0000-0003-0737-8383,1
15798,0000-0003-0824-6307,2
15799,0000-0001-7560-7104,2
15800,0000-0002-8281-8636,2
15801,0000-0001-5641-9458,1
15802,0000-0001-5506-6451,2
15803,0000-0003-1863-6202,1
15804,0000-0003-2902-7680,5
15805,0000-0002-2768-3257,4
15806,0000-0001-9735-0741,3
15807,0000-0003-4074-9318,1
15808,0000-0001-9795-2785,3
15809,0000-0003-4534-0853,3
15810,0000-0003-2658-6188,4
15811,0000-0001-6776-0934,2
15812,0000-0001-6122-9130,5
15813,0000-0001-7452-3435,1
15814,0000-0001-6485-7415,5
15815,0000-0001-9559-4160,1
15816,0000-0002-4023-6814,1
15817,0000-0002-5499-7139,5
15818,0000-0002-4546-0516,3
15819,0000-0002-3479-2427,13
15820,0000-0001-7554-0149,1
15821,0000-0001-8170-3602,1
15822,0000-0002-1215-8089,2
15823,0000-0001-8761-3819,7
15824,0000-0002-2528-0526,3
15825,0000-0001-5550-1222,6
15826,0000-0002-9325-3757,5
15827,0000-0003-4672-471X,8
15828,0000-0002-0656-702X,1
15829,0000-0002-6541-0604,6
15830,0000-0002-7973-0430,5
15831,0000-0003-0490-7323,1
15832,0000-0002-2759-1379,2
15833,0000-0003-1466-7597,6
15834,0000-0003-4370-8933,7
15835,0000-0001-5028-7028,2
15836,0000-0003-2715-8564,3
15837,0000-0003-2776-955X,1
15838,0000-0002-3966-8695,4
15839,0000-0002-2172-3780,13
15840,0000-0003-3626-4254,11
15841,0000-0003-2583-5808,4
15842,0000-0003-4912-5560,4
15843,0000-0002-4164-545X,2
15844,0000-0003-4870-8182,3
15845,0000-0002-4749-8913,2
15846,0000-0001-5019-9239,9
15847,0000-0003-4446-1194,4
15848,0000-0003-3307-6581,1
15849,0000-0002-4057-7686,2
15850,0000-0003-2631-4174,2
15851,0000-0002-1478-2619,3
15852,0000-0002-7881-4392,1
15853,0000-0002-6590-1606,6
15854,0000-0001-5816-2959,12
15855,0000-0002-0629-8798,3
15856,0000-0002-2470-0189,1
15857,0000-0002-8176-1527,4
15858,0000-0002-8718-4898,2
15859,0000-0002-3925-3799,2
15860,0000-0002-1577-4370,1
15861,0000-0003-3994-1265,5
15862,0000-0002-6392-859X,1
15863,0000-0002-4625-6488,4
15864,0000-0002-2282-3193,3
15865,0000-0002-2836-8961,2
15866,0000-0002-1619-8379,6
15867,0000-0002-8508-9977,2
15868,0000-0002-2936-2617,6
15869,0000-0002-1271-3214,1
15870,0000-0001-7918-1956,7
15871,0000-0002-3246-2993,5
15872,0000-0002-6693-539X,4
15873,0000-0002-8367-9332,9
15874,0000-0001-8424-6590,3
15875,0000-0002-6248-6814,4
15876,0000-0002-5095-3112,2
15877,0000-0001-7651-4567,1
15878,0000-0001-7337-6541,8
15879,0000-0003-4862-9599,1
15880,0000-0002-6551-3056,1
15881,0000-0001-9885-3535,2
15882,0000-0003-1386-0627,1
15883,0000-0002-9268-9356,8
15884,0000-0002-9837-4718,2
15885,0000-0003-2454-1795,3
15886,0000-0002-7633-3691,7
15887,0000-0002-2716-7770,1
15888,0000-0002-7368-2351,4
15889,0000-0002-8954-6151,8
15890,0000-0001-7283-9786,1
15891,0000-0002-9088-2187,4
15892,0000-0003-1193-8494,2
15893,0000-0002-7775-5933,1
15894,0000-0002-7609-7844,1
15895,0000-0002-7005-9994,2
15896,0000-0002-6925-4020,1
15897,0000-0002-7438-0072,2
15898,0000-0001-6021-3970,5
15899,0000-0001-7343-3577,3
15900,0000-0003-1406-0680,2
15901,0000-0002-2952-8779,4
15902,0000-0001-5784-267X,4
15903,0000-0002-8796-2143,7
15904,0000-0003-3683-2274,4
15905,0000-0002-7190-2955,5
15906,0000-0002-8127-9351,6
15907,0000-0001-8049-3295,1
15908,0000-0002-1652-7646,8
15909,0000-0001-9075-7645,1
15910,0000-0001-8082-4541,1
15911,0000-0003-2603-1545,1
15912,0000-0002-0781-4555,1
15913,0000-0003-2946-9294,8
15914,0000-0001-6991-1046,2
15915,0000-0003-3676-6983,1
15916,0000-0002-3537-8172,5
15917,0000-0001-7180-4709,2
15918,0000-0002-7385-8310,6
15919,0000-0003-2883-4528,4
15920,0000-0002-2921-8236,6
15921,0000-0003-1014-1010,2
15922,0000-0003-4360-1597,3
15923,0000-0001-9477-9294,4
15924,0000-0002-5102-3857,2
15925,0000-0003-3604-2897,3
15926,0000-0003-2225-7256,6
15927,0000-0002-7818-8993,1
15928,0000-0001-5414-8412,1
15929,0000-0003-2764-2583,3
15930,0000-0003-2308-8570,4
15931,0000-0002-7634-5692,4
15932,0000-0002-6548-7951,1
15933,0000-0001-6615-5601,3
15934,0000-0002-2114-7963,3
15935,0000-0002-0181-989X,1
15936,0000-0003-2750-9854,10
15937,0000-0001-5407-4986,3
15938,0000-0002-0400-635X,7
15939,0000-0002-6364-8184,1
15940,0000-0001-6603-1799,2
15941,0000-0002-8783-3675,3
15942,0000-0002-5192-2860,10
15943,0000-0002-3474-0379,2
15944,0000-0002-8499-5580,4
15945,0000-0002-6423-2383,5
15946,0000-0001-9989-2720,4
15947,0000-0003-2486-640X,3
15948,0000-0001-9814-5942,4
15949,0000-0002-0557-9790,3
15950,0000-0003-1555-2484,1
15951,0000-0002-3712-5558,1
15952,0000-0001-8077-1371,3
15953,0000-0002-3827-1020,3
15954,0000-0002-3694-1289,4
15955,0000-0001-8159-8005,4
15956,0000-0002-8398-4409,3
15957,0000-0002-3772-8279,2
15958,0000-0001-7119-5421,3
15959,0000-0002-4557-6308,2
15960,0000-0003-0857-3746,9
15961,0000-0002-2236-8506,3
15962,0000-0002-7473-6243,1
15963,0000-0002-3029-173X,6
15964,0000-0002-5435-6729,8
15965,0000-0002-6237-0440,8
15966,0000-0002-9684-8182,5
15967,0000-0003-2677-3434,3
15968,0000-0001-9636-2628,3
15969,0000-0002-0497-4713,2
15970,0000-0002-1797-5870,4
15971,0000-0003-1877-2976,1
15972,0000-0002-2997-9799,1
15973,0000-0001-8835-1451,7
15974,0000-0002-9071-6197,1
15975,0000-0001-7183-4115,3
15976,0000-0001-9379-0264,3
15977,0000-0001-5647-3390,3
15978,0000-0002-1207-3448,2
15979,0000-0003-0667-1895,1
15980,0000-0003-1886-0095,11
15981,0000-0002-9914-2070,5
15982,0000-0001-8489-5531,2
15983,0000-0002-0899-6143,1
15984,0000-0002-1016-862X,1
15985,0000-0002-2485-3708,2
15986,0000-0003-1803-2134,2
15987,0000-0002-3357-0216,6
15988,0000-0002-9205-5812,3
15989,0000-0003-3974-9564,1
15990,0000-0002-4574-9416,2
15991,0000-0003-1979-9070,2
15992,0000-0001-6413-3812,7
15993,0000-0001-7213-2879,4
15994,0000-0002-4268-8080,3
15995,0000-0001-9658-6381,3
15996,0000-0001-8983-5503,1
15997,0000-0001-6227-9930,1
